STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN,AWND
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130701,0.84,0.0,0.0,77,72,3.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130702,0.08,0.0,0.0,82,72,2.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130703,0.53,0.0,0.0,83,73,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130704,0.00,0.0,0.0,87,75,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130705,0.00,0.0,0.0,90,76,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130706,0.00,0.0,0.0,92,78,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130707,0.00,0.0,0.0,92,78,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130708,0.22,0.0,0.0,89,73,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130709,0.23,0.0,0.0,88,74,3.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130710,0.00,0.0,0.0,85,75,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130711,0.00,0.0,0.0,84,76,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130712,0.25,0.0,0.0,77,68,9.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130713,0.06,0.0,0.0,81,67,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130714,0.00,0.0,0.0,90,74,4.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130715,0.00,0.0,0.0,94,78,3.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130716,0.00,0.0,0.0,94,77,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130717,0.00,0.0,0.0,97,79,3.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130718,0.00,0.0,0.0,98,81,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130719,0.00,0.0,0.0,96,83,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130720,0.00,0.0,0.0,93,81,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130721,0.00,0.0,0.0,89,76,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130722,0.06,0.0,0.0,86,75,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130723,0.31,0.0,0.0,87,73,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130724,0.00,0.0,0.0,83,68,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130725,0.01,0.0,0.0,68,64,8.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130726,0.00,0.0,0.0,83,65,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130727,0.00,0.0,0.0,82,70,3.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130728,0.24,0.0,0.0,78,70,2.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130729,0.01,0.0,0.0,85,69,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130730,0.00,0.0,0.0,83,67,4.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130731,0.00,0.0,0.0,83,67,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130801,0.65,0.0,0.0,76,66,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130802,0.00,0.0,0.0,83,67,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130803,0.06,0.0,0.0,78,68,3.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130804,0.00,0.0,0.0,80,66,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130805,0.00,0.0,0.0,78,62,3.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130806,0.00,0.0,0.0,82,64,2.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130807,0.00,0.0,0.0,80,70,5.1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130808,0.46,0.0,0.0,81,70,4.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130809,0.05,0.0,0.0,85,74,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130810,0.00,0.0,0.0,83,70,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130811,0.00,0.0,0.0,81,65,2.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130812,0.05,0.0,0.0,82,70,2.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130813,0.85,0.0,0.0,77,68,2.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130814,0.00,0.0,0.0,74,61,6.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130815,0.00,0.0,0.0,78,59,3.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130816,0.00,0.0,0.0,82,64,2.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130817,0.00,0.0,0.0,84,64,2.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130818,0.00,0.0,0.0,76,68,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130819,0.00,0.0,0.0,79,66,3.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130820,0.00,0.0,0.0,88,68,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130821,0.00,0.0,0.0,90,72,2.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130822,0.25,0.0,0.0,78,71,3.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130823,0.00,0.0,0.0,82,71,5.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130824,0.00,0.0,0.0,80,65,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130825,0.00,0.0,0.0,83,64,4.0
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130826,0.04,0.0,0.0,84,68,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130827,0.01,0.0,0.0,87,71,4.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130828,0.43,0.0,0.0,86,71,2.7
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130829,0.00,0.0,0.0,80,71,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130830,0.00,0.0,0.0,85,70,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130831,0.00,0.0,0.0,86,73,4.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130901,0.00,0.0,0.0,84,75,2.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130902,0.05,0.0,0.0,82,74,0.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130903,0.03,0.0,0.0,82,68,2.9
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130904,0.00,0.0,0.0,82,65,5.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130905,0.00,0.0,0.0,80,64,5.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130906,0.00,0.0,0.0,72,57,3.6
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130907,0.00,0.0,0.0,80,59,3.4
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130908,0.00,0.0,0.0,83,64,6.5
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130909,0.00,0.0,0.0,73,57,4.3
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130910,0.01,0.0,0.0,87,68,5.8
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20130911,0.00,0.0,0.0,96,77,4.5
